FeatureName,FeatureType,Description
FlowID,Categorical,flow identifier composed of source and destination ports and protocol
Rank,Integer,sequence number
StartTime,Timestamp,record start time
LastTime,Timestamp,record last time
Trans,Integer,aggregation record count
Flgs,Categorical,flow state flags seen in transaction
Seq,Integer,argus sequence number
Dur,Continuous,record total duration
RunTime,Continuous,total active flow run time. sum of the records duration
IdleTime,Continuous,time since the last packet activity. current time - last time
Mean,Continuous,average duration of aggregated records
StdDev,Integer,standard deviation of aggregated duration times
Sum,Continuous,total accumulated durations of aggregated records
Min,Continuous,minimum duration of aggregated records
Max,Continuous,maximum duration of aggregated records
SrcMac,Categorical,source MAC address
DstMac,Categorical,destination MAC address
SrcOui,Categorical,oui portion of the source MAC address
DstOui,Categorical,oui portion of the destination MAC address
SrcAddr,Categorical,source IP address
DstAddr,Categorical,destination IP address
Proto,Categorical,transaction protocol
Sport,Integer,source port number
Dport,Integer,destination port number
sTos,Integer,source TOS byte value
dTos,Integer,destination TOS byte value
sDSb,Categorical,source diff serve byte value
dDSb,Categorical,destination diff serve byte value
sCo,Categorical,source IP address country code
dCo,Categorical,destination IP address country code
sTtl,Integer,source -> destination TTL value
dTtl,Integer,destionation -> source TTL value
sHops,Integer,estimate of number of IP hops from source to this point
dHops,Integer,estimate of number of IP hops from destionation to this point
sIpId,Integer,source IP identifier
dIpId,Integer,destination IP identifier
sMpls,Categorical,source MPLS identifier
dMpls,Categorical,destination MPLS identifier
AutoId,Categorical,auto generated identifier (mysql)
sAS,Categorical,source origin AS
dAS,Categorical,destination origin AS
iAS,Categorical,intermediate origin AS, AS of ICMP generator
Cause,Categorical,argus record cause code. Valid values are Start, Status, Stop, Close, Error
NStrok,Integer,number of observed keystrokes
sNStrok,Integer,number of observed keystrokes from initiator (source) to target (destionation)
dNStrok,Integer,number of observed keystrokes from target (destination) to initiator (source)
TotPkts,Integer,total transaction packet count
SrcPkts,Integer,source -> destination packet count
DstPkts,Integer,destionation -> source packet count
TotBytes,Integer,total transaction bytes
SrcBytes,Integer,source -> destination transaction bytes
DstBytes,Integer,destination -> source transaction bytes
TotAppByte,Integer,total application bytes
SAppBytes,Integer,source -> destination application bytes
DAppBytes,Integer,destination -> source application bytes
PCRatio,Continuous,producer consumer ratio
Load,Continuous,bits per second
SrcLoad,Continuous,source bits per second
DstLoad,Continuous,destination bits per second
Loss,Integer,packets retransmitted or dropped
SrcLoss,Integer,source packets retransmitted or dropped
DstLoss,Integer,destination packets retransmitted or dropped
